#Types Before Cut: 11091
#Types After Cut: 9668
#Search Hits: 0
242	13	34.507	твои
243	13	34.507	учились
244	20	33.926	другому
245	17	33.570	пошла
246	15	32.951	будешь
247	15	32.951	понял
248	15	32.951	поняла
249	28	32.850	таки
250	34	32.790	голос
251	23	32.769	дома
252	24	32.647	принципе
253	18	32.403	дом
254	49	32.251	всегда
255	36	32.126	две
256	12	31.853	берег
257	12	31.853	весело
258	12	31.853	круто
259	12	31.853	любят
260	12	31.853	поговорить
261	12	31.853	пятьдесят
262	12	31.853	смешно
263	20	31.149	дочка
264	16	31.145	школа
265	16	31.145	языке
266	21	30.836	хоть
267	21	30.836	язык
268	17	30.065	давайте
269	18	29.382	фильм
270	11	29.198	inan
271	11	29.198	девочки
272	11	29.198	девяносто
273	11	29.198	здорово
274	11	29.198	знала
275	11	29.198	кадра
276	11	29.198	классно
277	11	29.198	кхм
278	11	29.198	понимаешь
279	11	29.198	расскажу
280	11	29.198	рассказчик
281	11	29.198	смеётся
282	11	29.198	смотри
283	11	29.198	соседка
284	11	29.198	училась
285	11	29.198	холодно
286	26	29.013	самое
287	26	29.013	смысле
288	19	28.952	младший
289	15	28.733	играть
290	21	28.566	жить
291	113	28.238	даже
292	28	27.950	обычно
293	13	27.918	концерт
294	13	27.918	семья
295	13	27.918	ходить
296	17	27.140	моей
297	18	26.776	понимаю
298	22	26.592	какую
299	22	26.592	часов
300	19	26.577	н
301	19	26.577	слово
302	10	26.544	бывают
303	10	26.544	вкус
304	10	26.544	восемьдесят
305	10	26.544	дед
306	10	26.544	дедушка
307	10	26.544	ехать
308	10	26.544	забыл
309	10	26.544	иии
310	10	26.544	картинка
311	10	26.544	кашель
312	10	26.544	нуу
313	10	26.544	озеро
314	10	26.544	пол
315	10	26.544	прикольно
316	10	26.544	ребята
317	10	26.544	своё
318	10	26.544	слушай
319	10	26.544	смешок
320	10	26.544	собака
321	10	26.544	ушёл
322	14	26.337	домой
323	14	26.337	собственно
324	50	25.688	день
325	15	25.445	ж
326	12	25.418	вдруг
327	12	25.418	делаю
328	12	25.418	детстве
329	12	25.418	квартиру
330	12	25.418	купил
331	156	25.237	или
332	16	24.919	видео
333	16	24.919	читать
334	27	24.765	моя
335	20	24.516	друг
336	20	24.516	места
337	18	24.485	тему
338	29	24.245	старший
339	146	24.157	был
340	13	23.959	какими
341	13	23.959	маленький
342	13	23.959	машина
343	13	23.959	смотреть
344	13	23.959	честно
345	9	23.889	n
346	9	23.889	ар
347	9	23.889	видишь
348	9	23.889	грустный
349	9	23.889	двенадцать
350	9	23.889	двести
351	9	23.889	женщина
352	9	23.889	папа
353	9	23.889	переехали
354	9	23.889	подожди
355	9	23.889	танцами
356	9	23.889	учителя
357	9	23.889	чай
358	9	23.889	эмм
359	39	23.621	людей
360	14	23.166	d
361	14	23.166	мои
362	14	23.166	хотелось
363	11	22.931	давали
364	11	22.931	квартире
365	21	22.920	долго
366	16	22.499	девять
367	18	22.446	русский
368	17	22.420	кем
369	36	22.157	одна
370	12	21.602	нравятся
371	8	21.235	acc
372	8	21.235	komm
373	8	21.235	nom
374	8	21.235	ааa
375	8	21.235	английский
376	8	21.235	брови
377	8	21.235	вертолет
378	8	21.235	говорящийа
379	8	21.235	говорящийб
380	8	21.235	грустно
381	8	21.235	делаешь
382	8	21.235	егэ
383	8	21.235	звук
384	8	21.235	иду
385	8	21.235	интересного
386	8	21.235	колесико
387	8	21.235	любишь
388	8	21.235	лёва
389	8	21.235	мамой
390	8	21.235	мемы
391	8	21.235	моих
392	8	21.235	надя
393	8	21.235	неудобно
394	8	21.235	никит
395	8	21.235	одиннадцать
396	8	21.235	поехал
397	8	21.235	прихожу
398	8	21.235	смотрел
399	8	21.235	смотрела
400	8	21.235	студентов
401	8	21.235	типо
402	8	21.235	умер
403	8	21.235	учился
404	8	21.235	учится
405	8	21.235	хе
406	8	21.235	эт
407	27	21.008	каждый
408	27	21.008	слова
409	13	20.914	бывает
410	13	20.914	говорила
411	13	20.914	специально
412	19	20.816	павел
413	29	20.800	сама
414	35	20.758	четыре
415	14	20.557	надеюсь
416	10	20.458	интересные
417	10	20.458	рассказывала
418	28	20.341	совсем
419	40	19.927	говорить
420	27	19.886	ей
421	11	19.269	знаете
422	19	19.234	хотел
423	12	18.690	делали
424	12	18.690	купить
425	12	18.690	семье
426	7	18.581	бабушкой
427	7	18.581	боже
428	7	18.581	буквы
429	7	18.581	двери
430	7	18.581	детство
431	7	18.581	детьми
432	7	18.581	друзьями
433	7	18.581	ездить
434	7	18.581	ехали
435	7	18.581	живёт
436	7	18.581	забыла
437	7	18.581	задание
438	7	18.581	квартиры
439	7	18.581	красивый
440	7	18.581	ненавижу
441	7	18.581	нету
442	7	18.581	ноль
443	7	18.581	одни
444	7	18.581	парень
445	7	18.581	понравилась
446	7	18.581	пошёл
447	7	18.581	пытаюсь
448	7	18.581	ребят
449	7	18.581	секунд
450	7	18.581	скажи
451	7	18.581	сорок
452	7	18.581	супер
453	7	18.581	троллейбус
454	7	18.581	человечек
455	7	18.581	читаю
456	7	18.581	чё
457	16	18.518	уж
458	13	18.422	улице
459	14	18.343	вещи
460	30	18.311	чего
461	9	18.004	брали
462	9	18.004	друзей
463	9	18.004	едем
464	9	18.004	жил
465	9	18.004	институте
466	9	18.004	историю
467	9	18.004	маленькая
468	9	18.004	мое
469	9	18.004	нечего
470	9	18.004	смеется
471	9	18.004	смесь
472	9	18.004	твой
473	9	18.004	твоя
474	78	17.091	больше
475	153	17.020	еще
476	23	16.981	равно
477	10	16.963	мной
478	10	16.963	написано
479	29	16.920	соответственно
480	16	16.848	реально
481	11	16.499	отец
482	11	16.499	посмотреть
483	11	16.499	пошел
484	11	16.499	считаю
485	19	16.449	говоря
486	12	16.323	друзья
487	13	16.318	другую
488	13	16.318	языка
489	21	16.086	виктор
490	6	15.926	distinct
491	6	15.926	onion
492	6	15.926	part
493	6	15.926	автобус
494	6	15.926	автобусе
495	6	15.926	ам
496	6	15.926	антифриз
497	6	15.926	бабуля
498	6	15.926	бабушки
499	6	15.926	бешбармак
500	6	15.926	бутово
501	6	15.926	вау
502	6	15.926	верно
503	6	15.926	волосы
504	6	15.926	восемнадцать
505	6	15.926	выпускной
506	6	15.926	гончар
507	6	15.926	готовился
508	6	15.926	жигули
509	6	15.926	загрузили
510	6	15.926	запомнила
511	6	15.926	играли
512	6	15.926	идёт
513	6	15.926	колесо
514	6	15.926	коллектив
515	6	15.926	кормила
516	6	15.926	красиво
517	6	15.926	культура
518	6	15.926	лагере
519	6	15.926	лингвистике
520	6	15.926	литературу
521	6	15.926	лук
522	6	15.926	любил
523	6	15.926	любимый
524	6	15.926	математике
525	6	15.926	мгм
526	6	15.926	мем
527	6	15.926	молодец
528	6	15.926	мужик
529	6	15.926	немец
530	6	15.926	ногой
531	6	15.926	обед
532	6	15.926	орешки
533	6	15.926	погрей
534	6	15.926	подумала
535	6	15.926	покупайте
536	6	15.926	полу
537	6	15.926	польский
538	6	15.926	понравился
539	6	15.926	поступил
540	6	15.926	преподаватели
541	6	15.926	причём
542	6	15.926	пятёрка
543	6	15.926	саш
544	6	15.926	семьдесят
545	6	15.926	слышно
546	6	15.926	снимали
547	6	15.926	снимать
548	6	15.926	спал
549	6	15.926	спрашивают
550	6	15.926	спросить
551	6	15.926	студенты
552	6	15.926	сынок
553	6	15.926	убирай
554	6	15.926	учителей
555	6	15.926	учителем
556	6	15.926	худи
557	6	15.926	чувак
558	6	15.926	шёл
559	6	15.926	щас
560	6	15.926	этаж
561	6	15.926	эх
562	25	15.882	лучше
563	17	15.694	разные
564	8	15.572	дверь
565	8	15.572	замечательно
566	8	15.572	интересный
567	8	15.572	паре
568	8	15.572	работала
569	8	15.572	родителей
570	24	15.400	понятно
571	16	15.347	естественно
572	355	14.962	но
573	9	14.691	берут
574	9	14.691	какого
575	9	14.691	кошки
576	9	14.691	машине
577	9	14.691	можете
578	9	14.691	половиной
579	9	14.691	тяжело
580	9	14.691	часа
581	64	14.516	тогда
582	13	14.506	завтра
583	13	14.506	спокойно
584	17	14.384	заниматься
585	10	14.348	пришла
586	11	14.266	будто
587	16	13.987	наша
588	16	13.987	совершенно
589	73	13.862	поэтому
590	26	13.742	плюс
591	18	13.627	каким
592	18	13.627	сначала
